noise,controller,seed,viol_rate,pearson,final_V,auc_V,convergence,deadlock_rate,nonzero_frac
Student-t(1.5),C3_EMA,37,0.19019019019019018,0.601165934557044,1.807459729611286,20.112243335481498,0,0.028,0.972
Student-t(1.5),C3_EMA,38,0.2072072072072072,0.7550518202954795,6.221799164993089,17.818127787460007,0,0.003,0.997
Student-t(1.5),C3_EMA,39,0.15815815815815815,0.5657027985632057,12.654835841109504,32.30786536184386,0,0.058,0.942
Student-t(1.5),C3_raw,0,0.5125125125125125,0.6946052795098903,0.5393601709506387,1.7250383763559767,1,0.003,0.997
Student-t(1.5),C3_raw,1,0.5165165165165165,0.6604492527128142,1.0729370284022373,1.8292743124268864,1,0.003,0.997
Student-t(1.5),C3_raw,2,0.4774774774774775,0.949996610763972,0.5091082219860381,22.669037375431003,1,0.015,0.985
Student-t(1.5),C3_raw,3,0.5035035035035035,0.9565014035118883,3.4043171927766824,5.824717270181297,0,0.005,0.995
Student-t(1.5),C3_raw,4,0.5155155155155156,0.8648493078044989,3.100294588896939,1.8399230818764838,1,0.003,0.997
Student-t(1.5),C3_raw,5,0.5145145145145145,0.5487530437392171,0.5790115973860491,1.7631289875389513,1,0.0,1.0
Student-t(1.5),C3_raw,6,0.5105105105105106,0.7267504240069845,0.6102632508340342,1.8019991299181393,1,0.004,0.996
Student-t(1.5),C3_raw,7,0.5065065065065065,0.5990877645780549,0.8031397466054656,1.8709281064383225,1,0.003,0.997
Student-t(1.5),C3_raw,8,0.5085085085085085,0.7011223351203355,1.1132123252642525,1.8102937815075366,1,0.01,0.99
Student-t(1.5),C3_raw,9,0.5115115115115115,0.9118946469973287,1.5709336605461037,2.426061546943582,1,0.004,0.996
Student-t(1.5),C3_raw,10,0.5105105105105106,0.6150327104796557,0.16694675799078684,1.7200317059453398,1,0.002,0.998
Student-t(1.5),C3_raw,11,0.5155155155155156,0.6925766429114943,0.9077860888583534,1.7919321169353697,1,0.002,0.998
Student-t(1.5),C3_raw,12,0.47047047047047047,0.9477103393992418,7.795427431684642,47.9773006615465,1,0.021,0.979
Student-t(1.5),C3_raw,13,0.5135135135135135,0.9429809072675386,1.0574782168053403,2.660773692617656,1,0.002,0.998
Student-t(1.5),C3_raw,14,0.5095095095095095,0.9422226804739713,2.1460404899520698,2.299876776263409,1,0.003,0.997
Student-t(1.5),C3_raw,15,0.5065065065065065,0.8519077036766471,2.796051139065873,1.9979002755179132,1,0.003,0.997
Student-t(1.5),C3_raw,16,0.5145145145145145,0.7925055439558285,0.8334347484802747,1.878650965479071,1,0.002,0.998
Student-t(1.5),C3_raw,17,0.5035035035035035,0.8940224747366209,3.0902072717082656,2.094769107723265,1,0.003,0.997
Student-t(1.5),C3_raw,18,0.5155155155155156,0.603511780872087,5.000180755326089,1.7731888319857694,0,0.003,0.997
Student-t(1.5),C3_raw,19,0.5085085085085085,0.8396980056269876,2.5774295451908684,1.7538830787534945,1,0.002,0.998
Student-t(1.5),C3_raw,20,0.5145145145145145,0.9266839226863136,1.6856302869858542,2.21636694143654,1,0.004,0.996
Student-t(1.5),C3_raw,21,0.5235235235235235,0.6365086236367807,0.826775569920326,1.7039546388929607,1,0.003,0.997
Student-t(1.5),C3_raw,22,0.5165165165165165,0.924096935514368,2.20975342152025,2.261210760179707,1,0.006,0.994
Student-t(1.5),C3_raw,23,0.5015015015015015,0.6466283979888143,4.005822719628549,1.6902191940716926,1,0.002,0.998
Student-t(1.5),C3_raw,24,0.5185185185185185,0.5595925174723222,0.4482705817881847,1.8208160836837406,1,0.003,0.997
